#,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.02,SA(0.025)-0.1,SA(0.025)-0.02,SA(0.05)-0.1,SA(0.05)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(2.0)-0.1,SA(2.0)-0.02
-0.82018,0.16053,6.349074E-02,9.641049E-02,6.742279E-02,1.023610E-01,8.011315E-02,1.211930E-01,1.229039E-01,1.841505E-01,1.619280E-01,2.450733E-01,1.026440E-01,1.607521E-01,5.467657E-02,8.893710E-02,2.623728E-02,4.455102E-02
-0.82018,-0.19920,8.198745E-02,1.242781E-01,8.730164E-02,1.323137E-01,1.049245E-01,1.586138E-01,1.625915E-01,2.438376E-01,2.046305E-01,3.102438E-01,1.223378E-01,1.917878E-01,6.364910E-02,1.035787E-01,3.006331E-02,5.105006E-02
-0.82018,0.25046,5.803163E-02,8.821093E-02,6.149807E-02,9.341818E-02,7.285132E-02,1.103169E-01,1.115013E-01,1.671355E-01,1.490747E-01,2.256322E-01,9.624498E-02,1.509390E-01,5.186631E-02,8.416571E-02,2.496448E-02,4.239611E-02
-0.82018,-0.28913,8.424032E-02,1.277089E-01,8.986083E-02,1.361741E-01,1.079804E-01,1.633251E-01,1.676970E-01,2.518119E-01,2.095550E-01,3.178627E-01,1.244615E-01,1.952156E-01,6.459309E-02,1.050578E-01,3.043715E-02,5.172826E-02
-0.82018,0.34040,5.264230E-02,8.006787E-02,5.569028E-02,8.469499E-02,6.584677E-02,9.981946E-02,1.005344E-01,1.507837E-01,1.365348E-01,2.066175E-01,9.007084E-02,1.410313E-01,4.885988E-02,7.950014E-02,2.369801E-02,4.027237E-02
-0.82018,-0.37906,8.490885E-02,1.288120E-01,9.057195E-02,1.373676E-01,1.089316E-01,1.649508E-01,1.693529E-01,2.547782E-01,2.108764E-01,3.201981E-01,1.249121E-01,1.960032E-01,6.476247E-02,1.053457E-01,3.049361E-02,5.184239E-02
-0.82017,0.43033,4.741281E-02,7.220688E-02,5.017829E-02,7.642101E-02,5.921178E-02,8.986878E-02,9.016470E-02,1.353641E-01,1.241098E-01,1.878889E-01,8.374131E-02,1.313494E-01,4.601384E-02,7.477210E-02,2.246599E-02,3.813920E-02
-0.82017,-0.46899,8.391670E-02,1.275979E-01,8.952806E-02,1.361403E-01,1.076544E-01,1.634253E-01,1.672878E-01,2.524270E-01,2.085465E-01,3.172476E-01,1.236869E-01,1.942678E-01,6.416833E-02,1.045114E-01,3.024230E-02,5.142305E-02
-0.82017,0.52026,4.253072E-02,6.486179E-02,4.502251E-02,6.864512E-02,5.291479E-02,8.039312E-02,8.035900E-02,1.208166E-01,1.124924E-01,1.703850E-01,7.788007E-02,1.220221E-01,4.319180E-02,7.027296E-02,2.122728E-02,3.606903E-02
-0.82017,-0.55893,8.139105E-02,1.242326E-01,8.667240E-02,1.323462E-01,1.043031E-01,1.589265E-01,1.617645E-01,2.449979E-01,2.026032E-01,3.092855E-01,1.209354E-01,1.902489E-01,6.288699E-02,1.026192E-01,2.969859E-02,5.052914E-02
